Id;R;RM;Nome;Squadra
5841;P;Por;Svilar;Roma
5116;P;Por;Martinez Jo.;Inter
4431;P;Por;Carnesecchi;Atalanta
6966;P;Por;Butez;Como
4312;P;Por;Maignan;Milan
2521;P;Por;De Gea;Fiorentina
572;P;Por;Meret;Napoli
133;P;Por;Skorupski;Bologna
4360;P;Por;Caprile;Cagliari
5876;P;Por;Di Gregorio;Juventus
6482;P;Por;Mandas;Lazio
6462;P;Por;Okoye;Udinese
7332;P;Por;Bijlow;Genoa
2134;P;Por;Falcone;Lecce
7411;P;Por;Daffara;Parma
6641;P;Por;Suzuki;Parma
4236;P;Por;Muric;Sassuolo
218;P;Por;Perin;Juventus
6248;P;Por;Stankovic F.;Venezia
4485;P;Por;Thiam;Monza
2170;P;Por;Milinkovic-Savic V.;Napoli
6415;P;Por;Palmisani;Frosinone
7463;P;Por;Desplanches;Frosinone
2814;P;Por;Provedel;Inter
4;P;Por;Sportiello;Atalanta
7533;P;Por;Happonen;Bologna
7172;P;Por;Pessina Mas.;Bologna
6650;P;Por;Sherri;Cagliari
7301;P;Por;Tornqvist;Como
2809;P;Por;Vigorito;Como
6403;P;Por;Christensen O.;Fiorentina
158;P;Por;Lezzerini;Fiorentina
7466;P;Por;Lolic;Frosinone
219;P;Por;Sommariva;Genoa
6569;P;Por;Stolz;Genoa
1926;P;Por;Di Gennaro;Inter
1930;P;Por;Pinsoglio;Juventus
7337;P;Por;Motta;Lazio
7534;P;Por;Renzetti;Lazio
6523;P;Por;Samooja;Lecce
2815;P;Por;Terracciano;Milan
6813;P;Por;Torriani;Milan
6682;P;Por;Pizzignacco;Monza
7475;P;Por;Strajnar;Monza
2845;P;Por;Contini;Napoli
6662;P;Por;Corvi;Parma
7048;P;Por;De Marzi;Roma
610;P;Por;Gollini;Roma
4518;P;Por;Russo A.;Sassuolo
4867;P;Por;Turati;Sassuolo
7457;P;Por;Mascardi;Torino
5320;P;Por;Paleari;Torino
7363;P;Por;Siviero;Torino
543;P;Por;Padelli;Udinese
5707;P;Por;Piana;Udinese
6671;P;Por;Grandi;Venezia
7531;P;Por;Pozzi;Venezia
7545;P;Por;Vismara;Atalanta
2127;P;Por;Satalino;Sassuolo
254;D;"E;W";Dimarco;Inter
7181;D;E;Wesley;Roma
4159;D;Dc;Akanji;Inter
2788;D;Dc;Bremer;Juventus
2296;D;Dc;Mancini;Roma
2120;D;Dc;Bastoni;Inter
5022;D;Dc;Pavlovic;Milan
4409;D;Dc;Rrahmani;Napoli
4976;D;"Dd;Dc";Kalulu;Juventus
4317;D;Dc;N'Dicka;Roma
6956;D;Dc;Solet;Udinese
2514;D;Dc;Stones;Inter
5833;D;Dc;Gila;Milan
2816;D;"Dd;E";Di Lorenzo;Napoli
5750;D;Dc;Ostigard;Genoa
6217;D;Dc;Bisseck;Inter
5526;D;Dc;Scalvini;Atalanta
6869;D;Dc;Ramon;Como
5885;D;"Dd;E";Dodò;Fiorentina
4807;D;Dc;Hermoso;Roma
5514;D;"Ds;Dc";Vasquez;Genoa
5520;D;"Dd;Ds;E";Cambiaso;Juventus
5641;D;"Dd;Dc";Chalobah T.;Como
6046;D;Dc;Hien;Atalanta
554;D;"Dd;E";Zappacosta;Atalanta
6042;D;Dc;Lucumì;Bologna
4734;D;"Ds;E";Miranda J.;Bologna
4210;D;Dc;Mina;Cagliari
5365;D;Dc;Dragusin;Fiorentina
6531;D;"Dd;Ds;E";Jimenez A.;Fiorentina
6814;D;"Dd;E";Norton-Cuffy;Genoa
4657;D;"B;Dd;E";Celik;Juventus
6496;D;"Ds;E";Bartesaghi;Milan
1852;D;"Ds;E";Spinazzola;Napoli
