Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2026-08-22,18:30,Udinese,1–1,Como,23239,Bluenergy Stadium,Alberto Arena,Match Report,
1,Sat,2026-08-22,18:30,Inter,4–1,Monza,75013,Stadio Giuseppe Meazza,Livio Marinelli,Match Report,
1,Sat,2026-08-22,20:45,Parma,0–1,Cagliari,15365,Stadio Ennio Tardini,Daniele Perenzoni,Match Report,
1,Sat,2026-08-22,20:45,Genoa,0–2,Napoli,33113,Stadio Comunale Luigi Ferraris,Marco Di Bello,Match Report,
1,Sun,2026-08-23,18:30,Frosinone,0–1,Juventus,15256,Stadio Benito Stirpe,Giovanni Ayroldi,Match Report,
1,Sun,2026-08-23,18:30,Venezia,0–2,Lecce,11016,Stadio Pier Luigi Penzo,Antonio Rapuano,Match Report,
1,Sun,2026-08-23,20:45,Torino,1–2,Milan,24285,Stadio Olimpico Grande Torino,Luca Zufferli,Match Report,
1,Sun,2026-08-23,20:45,Atalanta,2–1,Sassuolo,20828,New Balance Arena,Valerio Crezzini,Match Report,
1,Mon,2026-08-24,18:30,Bologna,0–1,Lazio,28211,Stadio Renato Dall'Ara,Fabio Maresca,Match Report,
1,Mon,2026-08-24,20:45,Roma,4–0,Fiorentina,67598,Stadio Olimpico,Matteo Marcenaro,Match Report,
,,,,,,,,,,,
2,Fri,2026-08-28,20:45,Milan,,Venezia,,Stadio Giuseppe Meazza,,Head-to-Head,
2,Sat,2026-08-29,18:30,Sassuolo,,Torino,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
2,Sat,2026-08-29,18:30,Monza,,Udinese,,U-Power Stadium,,Head-to-Head,
2,Sat,2026-08-29,18:30,Fiorentina,,Frosinone,,Stadio Artemio Franchi,,Head-to-Head,
2,Sat,2026-08-29,20:45,Juventus,,Parma,,Allianz Stadium,,Head-to-Head,
2,Sun,2026-08-30,18:30,Napoli,,Como,,Stadio Diego Armando Maradona,,Head-to-Head,
2,Sun,2026-08-30,20:45,Cagliari,,Inter,,Unipol Domus,,Head-to-Head,
2,Sun,2026-08-30,20:45,Lazio,,Genoa,,Stadio Olimpico,,Head-to-Head,
2,Mon,2026-08-31,18:30,Lecce,,Roma,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
2,Mon,2026-08-31,20:45,Atalanta,,Bologna,,New Balance Arena,,Head-to-Head,
,,,,,,,,,,,
3,Fri,2026-09-04,20:45,Genoa,,Como,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
3,Sat,2026-09-05,15:00,Fiorentina,,Torino,,Stadio Artemio Franchi,,Head-to-Head,
3,Sat,2026-09-05,18:00,Inter,,Napoli,,Stadio Giuseppe Meazza,,Head-to-Head,
3,Sat,2026-09-05,20:45,Roma,,Atalanta,,Stadio Olimpico,,Head-to-Head,
3,Sun,2026-09-06,15:00,Parma,,Monza,,Stadio Ennio Tardini,,Head-to-Head,
3,Sun,2026-09-06,15:00,Frosinone,,Venezia,,Stadio Benito Stirpe,,Head-to-Head,
3,Sun,2026-09-06,18:00,Bologna,,Sassuolo,,Stadio Renato Dall'Ara,,Head-to-Head,
3,Sun,2026-09-06,20:45,Juventus,,Milan,,Allianz Stadium,,Head-to-Head,
3,Mon,2026-09-07,18:00,Cagliari,,Lecce,,Unipol Domus,,Head-to-Head,
3,Mon,2026-09-07,20:45,Udinese,,Lazio,,Bluenergy Stadium,,Head-to-Head,
,,,,,,,,,,,
4,Fri,2026-09-11,20:45,Venezia,,Fiorentina,,Stadio Pier Luigi Penzo,,Head-to-Head,
4,Sat,2026-09-12,,Sassuolo,,Juventus,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
4,Sat,2026-09-12,15:00,Genoa,,Frosinone,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
4,Sat,2026-09-12,20:45,Atalanta,,Cagliari,,New Balance Arena,,Head-to-Head,
4,Sun,2026-09-13,,Torino,,Roma,,Stadio Olimpico Grande Torino,,Head-to-Head,
4,Sun,2026-09-13,,Lazio,,Milan,,Stadio Olimpico,,Head-to-Head,
4,Sun,2026-09-13,,Como,,Parma,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
4,Sun,2026-09-13,15:00,Lecce,,Monza,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
4,Sun,2026-09-13,18:00,Napoli,,Bologna,,Stadio Diego Armando Maradona,,Head-to-Head,
4,Mon,2026-09-14,20:45,Inter,,Udinese,,Stadio Giuseppe Meazza,,Head-to-Head,
,,,,,,,,,,,
5,Fri,2026-09-18,20:45,Monza,,Sassuolo,,U-Power Stadium,,Head-to-Head,
5,Sat,2026-09-19,15:00,Bologna,,Torino,,Stadio Renato Dall'Ara,,Head-to-Head,
5,Sat,2026-09-19,15:00,Udinese,,Cagliari,,Bluenergy Stadium,,Head-to-Head,
5,Sat,2026-09-19,18:00,Roma,,Inter,,Stadio Olimpico,,Head-to-Head,
5,Sat,2026-09-19,20:45,Venezia,,Lazio,,Stadio Pier Luigi Penzo,,Head-to-Head,
5,Sun,2026-09-20,12:30,Fiorentina,,Napoli,,Stadio Artemio Franchi,,Head-to-Head,
5,Sun,2026-09-20,15:00,Frosinone,,Como,,Stadio Benito Stirpe,,Head-to-Head,
5,Sun,2026-09-20,15:00,Parma,,Genoa,,Stadio Ennio Tardini,,Head-to-Head,
5,Sun,2026-09-20,18:00,Juventus,,Atalanta,,Allianz Stadium,,Head-to-Head,
5,Sun,2026-09-20,20:45,Milan,,Lecce,,Stadio Giuseppe Meazza,,Head-to-Head,
,,,,,,,,,,,
6,Sun,2026-10-11,,Como,,Roma,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
6,Sun,2026-10-11,,Napoli,,Frosinone,,Stadio Diego Armando Maradona,,Head-to-Head,
6,Sun,2026-10-11,,Lazio,,Monza,,Stadio Olimpico,,Head-to-Head,
6,Sun,2026-10-11,,Atalanta,,Venezia,,New Balance Arena,,Head-to-Head,
6,Sun,2026-10-11,,Torino,,Udinese,,Stadio Olimpico Grande Torino,,Head-to-Head,
6,Sun,2026-10-11,,Cagliari,,Juventus,,Unipol Domus,,Head-to-Head,
6,Sun,2026-10-11,,Genoa,,Fiorentina,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
6,Sun,2026-10-11,,Lecce,,Bologna,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
6,Sun,2026-10-11,,Inter,,Parma,,Stadio Giuseppe Meazza,,Head-to-Head,
6,Sun,2026-10-11,,Sassuolo,,Milan,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
,,,,,,,,,,,
7,Sat,2026-10-17,,Monza,,Cagliari,,U-Power Stadium,,Head-to-Head,
7,Sat,2026-10-17,,Fiorentina,,Como,,Stadio Artemio Franchi,,Head-to-Head,
7,Sat,2026-10-17,,Juventus,,Lazio,,Allianz Stadium,,Head-to-Head,
7,Sat,2026-10-17,,Milan,,Atalanta,,Stadio Giuseppe Meazza,,Head-to-Head,
7,Sat,2026-10-17,,Venezia,,Napoli,,Stadio Pier Luigi Penzo,,Head-to-Head,
7,Sat,2026-10-17,,Frosinone,,Sassuolo,,Stadio Benito Stirpe,,Head-to-Head,
7,Sat,2026-10-17,,Udinese,,Lecce,,Bluenergy Stadium,,Head-to-Head,
7,Sat,2026-10-17,,Bologna,,Inter,,Stadio Renato Dall'Ara,,Head-to-Head,
7,Sat,2026-10-17,,Parma,,Torino,,Stadio Ennio Tardini,,Head-to-Head,
7,Sat,2026-10-17,,Roma,,Genoa,,Stadio Olimpico,,Head-to-Head,
,,,,,,,,,,,
8,Sun,2026-10-25,,Atalanta,,Frosinone,,New Balance Arena,,Head-to-Head,
8,Sun,2026-10-25,,Lazio,,Parma,,Stadio Olimpico,,Head-to-Head,
8,Sun,2026-10-25,,Lecce,,Juventus,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
8,Sun,2026-10-25,,Genoa,,Venezia,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
8,Sun,2026-10-25,,Inter,,Fiorentina,,Stadio Giuseppe Meazza,,Head-to-Head,
8,Sun,2026-10-25,,Como,,Sassuolo,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
8,Sun,2026-10-25,,Cagliari,,Bologna,,Unipol Domus,,Head-to-Head,
8,Sun,2026-10-25,,Udinese,,Milan,,Bluenergy Stadium,,Head-to-Head,
8,Sun,2026-10-25,,Napoli,,Roma,,Stadio Diego Armando Maradona,,Head-to-Head,
8,Sun,2026-10-25,,Torino,,Monza,,Stadio Olimpico Grande Torino,,Head-to-Head,
,,,,,,,,,,,
9,Wed,2026-10-28,,Sassuolo,,Lazio,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
9,Wed,2026-10-28,,Genoa,,Juventus,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
9,Wed,2026-10-28,,Milan,,Bologna,,Stadio Giuseppe Meazza,,Head-to-Head,
