matchday;home_team;away_team;date
1;Inter;Genoa;2026-08-18
1;Bologna;Udinese;2026-08-18
1;Cagliari;Roma;2026-08-18
1;Empoli;Monza;2026-08-18
1;Verona;Napoli;2026-08-18
1;Milan;Torino;2026-08-18
1;Fiorentina;Parma;2026-08-18
1;Lazio;Venezia;2026-08-18
1;Lecce;Atalanta;2026-08-18
1;Juventus;Como;2026-08-18
2;Parma;Milan;2026-08-25
2;Udinese;Lazio;2026-08-25
2;Inter;Lecce;2026-08-25
2;Monza;Genoa;2026-08-25
2;Torino;Atalanta;2026-08-25
2;Napoli;Bologna;2026-08-25
2;Roma;Empoli;2026-08-25
2;Venezia;Fiorentina;2026-08-25
2;Como;Cagliari;2026-08-25
2;Verona;Juventus;2026-08-25
