Id;R;RM;Nome;Squadra;FVM
5841;P;Por;Svilar;Roma;85
4431;P;Por;Carnesecchi;Atalanta;55
5116;P;Por;Martinez Jo.;Inter;68
4964;P;Por;Vicario;Juventus;70
6966;P;Por;Butez;Como;50
4312;P;Por;Maignan;Milan;52
2521;P;Por;De Gea;Fiorentina;30
572;P;Por;Meret;Napoli;48
133;P;Por;Skorupski;Bologna;32
4360;P;Por;Caprile;Cagliari;25
6482;P;Por;Mandas;Lazio;36
6462;P;Por;Okoye;Udinese;28
6534;P;Por;Perri;Torino;26
7332;P;Por;Bijlow;Genoa;15
2134;P;Por;Falcone;Lecce;26
6344;P;Por;Sanchez Ro.;Como;25
4236;P;Por;Muric;Sassuolo;15
7411;P;Por;Daffara;Parma;7
6248;P;Por;Stankovic F.;Venezia;11
6415;P;Por;Palmisani;Frosinone;12
2170;P;Por;Milinkovic-Savic V.;Napoli;5
4485;P;Por;Thiam;Monza;5
7463;P;Por;Desplanches;Frosinone;1
2814;P;Por;Provedel;Inter;5
6662;P;Por;Corvi;Parma;10
4;P;Por;Sportiello;Atalanta;1
7533;P;Por;Happonen;Bologna;1
7172;P;Por;Pessina Mas.;Bologna;1
6650;P;Por;Sherri;Cagliari;1
7301;P;Por;Tornqvist;Monza;10
2809;P;Por;Vigorito;Como;1
6403;P;Por;Christensen O.;Fiorentina;1
158;P;Por;Lezzerini;Fiorentina;1
7466;P;Por;Lolic;Frosinone;1
219;P;Por;Sommariva;Genoa;1
6569;P;Por;Stolz;Genoa;1
1926;P;Por;Di Gennaro;Inter;1
1930;P;Por;Pinsoglio;Juventus;1
7337;P;Por;Motta;Lazio;1
7534;P;Por;Renzetti;Lazio;1
2815;P;Por;Terracciano;Milan;1
6813;P;Por;Torriani;Milan;1
7475;P;Por;Strajnar;Monza;1
2845;P;Por;Contini;Napoli;1
7048;P;Por;De Marzi;Roma;1
610;P;Por;Gollini;Roma;1
4518;P;Por;Russo A.;Sassuolo;1
4867;P;Por;Turati;Sassuolo;1
7457;P;Por;Mascardi;Torino;5
7363;P;Por;Siviero;Torino;1
543;P;Por;Padelli;Udinese;1
5707;P;Por;Piana;Udinese;1
6671;P;Por;Grandi;Venezia;1
7531;P;Por;Pozzi;Venezia;1
2127;P;Por;Satalino;Sassuolo;1
7557;P;Por;Penev;Lecce;1
7560;P;Por;Pisseri;Frosinone;1
3;P;Por;Radunovic;Cagliari;1
4957;P;Por;Montipò;Venezia;1
4468;P;Por;Bleve;Lecce;1
7603;P;Por;Grabara;Juventus;1
7611;P;Por;Mrozek;Udinese;1
2874;P;Por;Ghidotti;Parma;1
7626;P;Por;Pompei;Atalanta;1
254;D;"E;W";Dimarco;Inter;240
7181;D;E;Wesley;Roma;87
4998;D;E;Molina N.;Roma;78
2788;D;Dc;Bremer;Juventus;60
2296;D;Dc;Mancini;Roma;50
4159;D;Dc;Akanji;Inter;47
4409;D;Dc;Rrahmani;Napoli;51
2120;D;Dc;Bastoni;Inter;43
4976;D;"Dd;Dc";Kalulu;Juventus;47
5022;D;Dc;Pavlovic;Milan;49
5833;D;Dc;Gila;Milan;31
4317;D;Dc;N'Dicka;Roma;42
6956;D;Dc;Solet;Udinese;46
6217;D;Dc;Bisseck;Inter;36
