Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
2428;P;Por;Sommer;Inter;34;6,12;5,63;0;19;1;0;0;0;0;1;0;0
453;P;Por;Szczesny;Juventus;35;6,21;5,43;0;30;1;0;0;0;0;1;0;0
5841;P;Por;Svilar;Roma;15;6,47;5,37;0;19;1;0;0;0;0;1;0;0
5876;P;Por;Di Gregorio;Monza;33;6,35;5,47;0;35;2;0;0;0;0;0;0;0
133;P;Por;Skorupski;Bologna;32;6,17;5,33;0;29;1;0;0;0;0;2;0;0
2815;P;Por;Terracciano;Fiorentina;33;6,27;5,26;0;35;1;0;0;0;0;3;0;0
4431;P;Por;Carnesecchi;Atalanta;27;6,19;5,3;0;30;2;0;0;0;0;0;0;0
2170;P;Por;Milinkovic-Savic V.;Torino;36;6,12;5,24;0;31;0;0;0;0;0;2;0;0
4360;P;Por;Caprile;Empoli;23;6,26;5,22;0;27;1;0;0;0;0;0;0;0
572;P;Por;Meret;Napoli;31;6,06;4,97;0;40;2;0;0;0;0;0;0;0
4957;P;Por;Montipo';Verona;37;6,31;4,99;0;49;0;0;0;0;0;0;0;0
2134;P;Por;Falcone;Lecce;38;6,25;4,91;0;54;1;0;0;0;0;0;0;0
2814;P;Por;Provedel;Lazio;30;6,23;5,13;0;33;0;0;0;0;0;0;0;0
5116;P;Por;Martinez Jo.;Genoa;36;6,14;4,97;0;43;1;0;0;0;0;2;1;0
6462;P;Por;Okoye;Udinese;21;6,17;4,93;0;25;0;0;0;0;0;2;0;0
6482;P;Por;Mandas;Lazio;8;6,25;5,5;0;6;0;0;0;0;0;0;0;0
4312;P;Por;Maignan;Milan;29;6,05;4,86;0;34;0;0;0;0;1;1;1;0
2722;P;Por;Ravaglia F.;Bologna;6;6,33;6,33;0;3;1;0;0;0;0;0;0;0
509;P;Por;Consigli;Sassuolo;35;6,14;4,27;0;68;1;0;0;0;0;1;0;0
574;P;Por;Scuffet;Cagliari;31;6,13;4,31;0;55;0;0;0;0;0;3;0;0
4270;P;Por;Rui Patricio;Roma;23;5,98;4,78;0;27;0;0;0;0;0;1;0;0
4867;P;Por;Turati;Frosinone;31;6,19;4,42;0;58;1;0;0;0;0;0;0;0
4;P;Por;Sportiello;Milan;7;6,14;4,57;0;11;0;0;0;0;0;0;0;0
761;P;Por;Audero;Inter;4;6;5,25;0;3;0;0;0;0;0;0;0;0
2792;P;Por;Musso;Atalanta;11;6,14;5,05;0;12;0;0;0;0;0;0;0;0
218;P;Por;Perin;Juventus;3;6;5,67;0;1;0;0;0;0;0;0;0;0
2294;P;Por;Cerofolini;Frosinone;8;5,94;4,25;0;11;0;0;0;0;0;1;0;1
6120;P;Por;Ochoa;Salernitana;21;6,31;4,21;0;44;0;0;0;0;0;0;0;0
316;P;Por;Berisha;Empoli;14;6,11;4,54;0;25;1;0;0;0;0;0;0;0
511;P;Por;Perilli;Verona;1;7,5;5,5;0;2;0;0;0;0;0;0;0;0
1926;P;Por;Di Gennaro;Inter;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
1930;P;Por;Pinsoglio;Juventus;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
2297;P;Por;Rossi F.;Atalanta;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
188;P;Por;Leali;Genoa;2;6,5;5,25;0;2;0;0;0;0;0;1;0;0
610;P;Por;Gollini;Napoli;7;6;4,86;0;8;0;0;0;0;0;0;0;0
1946;P;Por;Aresti;Cagliari;1;6;5;0;1;0;0;0;0;0;0;0;0
1947;P;Por;Fiorillo;Salernitana;4;6;3,88;0;8;0;0;0;0;0;1;0;0
2178;P;Por;Cragno;Sassuolo;3;6;3,67;0;7;0;0;0;0;0;0;0;0
